Month,Year,Amount,Category,Description
September 16,2016,5.00,Charity,DD
September 16,2016,1.37,Small purchases,Photos
September 16,2016,7.60,Train,
September 16,2016,5.00,Account fee,
September 16,2016,-32.33,Interest,
September 16,2016,2.40,Train,
September 16,2016,6.98,Lunch,Eat
September 16,2016,-400.00,Transfers,
September 16,2016,6.99,Lunch,Pod
September 16,2016,2.40,Train,
September 16,2016,4.80,Train,
September 16,2016,2.40,Train,
September 16,2016,129.00,Clothes,Dinner suit
September 16,2016,59.62,Other,Fran Caravan
September 16,2016,2.40,Train,
September 16,2016,32.91,Other,Sabrina
September 16,2016,4.80,Train,
September 16,2016,2.40,Train,
September 16,2016,4.80,Train,
September 16,2016,2.40,Train,
September 16,2016,48.37,Other,G lighterman
September 16,2016,12.50,Clothes,Bowtie
September 16,2016,2.40,Train,
September 16,2016,30.00,Trim,
September 16,2016,-4458.83,Salary,
September 16,2016,6.05,Lunch,Wasabi
September 16,2016,44.50,Clothes,Dinner shirt
September 16,2016,1.80,Lunch,Wasabi
September 16,2016,2.40,Train,
